RA,DEC,R500,M500,Z
234.8913,-83.5922,1.0138,317700000000000.0,0.0728
147.1642,-83.4656,0.997,343230000000000.0,0.1982
316.2446,-82.7228,0.792,155060000000000.0,0.0969
304.0583,-80.7992,0.8864,224900000000000.0,0.1309
256.2929,-82.1739,0.841,181480000000000.0,0.0737
13.1871,-80.2664,1.0783,398120000000000.0,0.1141
280.155,-77.1556,0.5714,54100000000000.0,0.0194
281.6779,-74.5331,0.6672,96890000000000.0,0.141
145.8542,-76.3325,1.0915,450790000000000.0,0.199
321.095,-74.7736,0.7308,117360000000000.0,0.0586
323.3512,-71.9358,0.6422,79450000000000.0,0.0559
256.4921,-74.3753,0.9764,319610000000000.0,0.19
61.6908,-71.275,0.8293,204200000000000.0,0.229
160.1867,-70.7969,0.8359,176030000000000.0,0.061
350.4525,-69.6986,1.0608,407610000000000.0,0.1846
349.8,-67.84,0.4746,31260000000000.0,0.0286
318.5821,-68.0156,0.5801,62980000000000.0,0.13
14.4504,-66.8122,0.8116,161950000000000.0,0.0661
243.5329,-63.1306,0.7571,130910000000000.0,0.062
98.8683,-62.5683,0.6729,101080000000000.0,0.157
98.6421,-62.4461,0.7408,152200000000000.0,0.27
337.2138,-60.8989,0.6001,64000000000000.0,0.0423
359.83,-60.7,0.8572,196990000000000.0,0.0989
28.5521,-59.6258,0.6985,141200000000000.0,0.36
108.0225,-60.5017,0.5292,43480000000000.0,0.0322
319.2025,-59.4981,0.7146,109910000000000.0,0.0602
82.6296,-58.8597,0.5583,70310000000000.0,0.338
82.41,-58.8028,0.6098,106240000000000.0,0.466
83.4829,-58.1544,0.5435,55600000000000.0,0.198
90.2013,-58.5872,0.5274,43210000000000.0,0.0369
83.4712,-57.7792,0.6897,126580000000000.0,0.297
201.18,-57.6144,0.834,168120000000000.0,0.019
302.8462,-57.4275,1.1103,517350000000000.0,0.2786
325.9929,-56.6264,0.9514,265040000000000.0,0.0824
327.8446,-55.3533,0.5557,50650000000000.0,0.0385
312.9108,-57.0733,0.3861,17340000000000.0,0.0599
336.1817,-56.5347,0.5524,49610000000000.0,0.0355
97.8363,-56.1722,0.7544,128550000000000.0,0.054
10.0271,-56.1167,0.5179,40580000000000.0,0.0277
19.4604,-54.9239,1.0719,451640000000000.0,0.251
72.8992,-55.9539,0.6377,80730000000000.0,0.094
67.2825,-53.8475,0.5998,63760000000000.0,0.04
300.8679,-55.9464,0.2827,6520000000000.0,0.0148
64.1871,-55.4189,0.6629,121360000000000.0,0.365
96.3179,-55.3517,0.7483,133600000000000.0,0.118
55.0358,-55.0539,0.6171,69870000000000.0,0.0464
53.7342,-53.7022,0.6721,91580000000000.0,0.0619
58.0862,-54.8858,0.6121,68060000000000.0,0.0447
351.4129,-54.7325,0.5185,43740000000000.0,0.102
351.6954,-52.71,0.8278,178950000000000.0,0.1074
302.2667,-54.3578,0.6369,77200000000000.0,0.0516
305.4779,-52.9478,0.9013,238260000000000.0,0.1383
215.9304,-54.2033,1.2787,809350000000000.0,0.3
119.4437,-53.2636,0.7216,110920000000000.0,0.039
291.7429,-53.7031,0.7916,148950000000000.0,0.057
95.4317,-52.7031,0.6818,94660000000000.0,0.0511
96.1967,-52.6789,0.6011,66290000000000.0,0.074
50.5529,-53.1781,0.7305,119660000000000.0,0.0797
52.5029,-52.5961,0.8831,207860000000000.0,0.0624
50.4875,-51.3258,0.6797,95450000000000.0,0.0696
32.47,-51.2719,0.6235,84670000000000.0,0.206
346.3608,-51.5083,0.4608,33730000000000.0,0.194
270.6225,-52.6092,0.9696,292640000000000.0,0.125
335.5579,-52.5869,0.6421,89400000000000.0,0.174
39.4983,-52.4131,0.7241,123270000000000.0,0.136
316.2279,-51.8264,0.7628,132270000000000.0,0.0491
292.0583,-50.93,0.9534,285270000000000.0,0.1496
5.1421,-49.2278,0.6595,87300000000000.0,0.0711
65.62,-50.1503,0.5542,52770000000000.0,0.0901
65.2646,-46.4928,0.6183,76350000000000.0,0.131
64.3575,-45.2078,0.7737,162980000000000.0,0.213
91.7558,-49.4833,0.6546,84100000000000.0,0.0553
50.5854,-49.3117,0.4964,37080000000000.0,0.067
200.1958,-48.9303,1.0199,378940000000000.0,0.227
336.8679,-48.8817,0.7421,127560000000000.0,0.097
336.5442,-47.7503,0.7336,125210000000000.0,0.113
92.6333,-48.8072,0.7042,126920000000000.0,0.243
302.4754,-48.3931,0.363,13740000000000.0,0.0097
34.0796,-48.2731,0.9318,272250000000000.0,0.1709
34.1763,-47.8233,0.6933,100750000000000.0,0.064
86.94,-47.39,0.6074,66950000000000.0,0.0515
85.8517,-44.5053,0.9948,328820000000000.0,0.1637
294.5813,-47.8044,1.0904,483550000000000.0,0.2665
296.6429,-42.9422,0.8367,185730000000000.0,0.1128
83.1742,-46.2381,0.6436,86440000000000.0,0.135
233.7879,-46.9792,0.4925,35160000000000.0,0.036
229.595,-46.5403,0.7448,123960000000000.0,0.056
182.6842,-46.7383,0.6361,75490000000000.0,0.032
41.3025,-46.4539,0.7034,107540000000000.0,0.0868
180.2642,-46.3906,0.8749,213500000000000.0,0.118
326.9812,-46.0053,0.7705,137640000000000.0,0.0593
55.2054,-45.7053,0.7339,120150000000000.0,0.0698
55.4879,-45.0031,0.4761,47270000000000.0,0.408
58.6442,-42.5592,0.662,103290000000000.0,0.224
52.9975,-45.4067,0.4142,21550000000000.0,0.0671
50.1575,-43.1978,0.6094,74450000000000.0,0.149
50.0754,-42.9869,0.6397,86940000000000.0,0.158
342.7038,-45.3592,0.5572,51670000000000.0,0.0511
346.3942,-45.2206,0.919,249260000000000.0,0.1253
30.5783,-44.7936,0.6251,73660000000000.0,0.0616
22.1537,-43.4158,0.5831,75720000000000.0,0.288
23.2275,-42.9961,0.526,45010000000000.0,0.0876
17.1383,-40.35,0.8856,226580000000000.0,0.1408
17.9025,-38.1867,0.4604,31240000000000.0,0.122
21.5192,-37.9767,0.668,91590000000000.0,0.081
16.9546,-36.7272,0.8642,205890000000000.0,0.1186
85.0417,-43.3822,0.8178,168740000000000.0,0.085
85.7117,-41.0014,0.8038,299960000000000.0,0.642
314.98,-42.7592,0.6514,109830000000000.0,0.323
324.9937,-43.0872,0.636,108560000000000.0,0.376
324.4629,-42.8522,0.7461,141870000000000.0,0.185
291.3733,-42.9492,0.8466,185850000000000.0,0.0774
212.6188,-42.7769,0.7482,124830000000000.0,0.049
204.3675,-41.3336,0.6913,98740000000000.0,0.0519
349.5229,-42.5928,0.6145,81290000000000.0,0.209
349.775,-42.1139,0.9367,244030000000000.0,0.045
350.3892,-41.8989,0.9415,258630000000000.0,0.0894
304.6067,-41.0467,0.4591,28040000000000.0,0.0192
315.3671,-41.0017,0.9605,297740000000000.0,0.1694
193.4204,-39.5319,1.2717,698380000000000.0,0.1794
56.4404,-41.2075,0.7498,126990000000000.0,0.0603
61.3513,-41.0042,0.7502,257140000000000.0,0.686
200.1779,-41.0397,0.6708,90000000000000.0,0.0495
201.3954,-38.4306,0.7474,190850000000000.0,0.445
201.2571,-38.2264,0.6442,103010000000000.0,0.296
32.8563,-40.2867,0.8072,164780000000000.0,0.1008
32.5575,-39.5475,0.4517,30930000000000.0,0.168
32.6067,-39.4964,0.4794,36850000000000.0,0.165
53.2733,-39.2303,0.5047,46820000000000.0,0.245
53.5154,-39.0136,0.4885,35190000000000.0,0.0623
96.1529,-37.3358,0.5887,59900000000000.0,0.0333
359.9821,-39.4797,0.8826,215790000000000.0,0.1024
2.4438,-35.275,0.6639,87280000000000.0,0.05
4.3904,-35.165,0.7883,152910000000000.0,0.0968
27.5071,-39.4528,0.7134,152660000000000.0,0.373
89.305,-37.4661,0.6894,97220000000000.0,0.0442
188.5704,-38.9428,1.134,526830000000000.0,0.2373
189.1937,-35.5328,0.7512,129320000000000.0,0.0736
65.1863,-38.6992,0.5855,71540000000000.0,0.225
65.0254,-38.6342,0.7046,143310000000000.0,0.35
67.1767,-38.0964,0.5899,67890000000000.0,0.154
196.4771,-37.6614,0.7432,122420000000000.0,0.0497
48.4083,-38.2986,0.694,102940000000000.0,0.0833
57.6829,-38.0236,0.7986,211780000000000.0,0.363
58.9971,-37.6961,0.8349,274940000000000.0,0.473
